2018-05-28 13:05:47,604 | INFO     | 0001 | Scraping starting for: Leogane, HT
2018-05-28 13:06:22,280 | INFO     | 0001 | Scraping starting for: Leogane, HT
2018-05-28 13:06:22,281 | INFO     | 0002 | Coordinates: 18.51, -72.63
2018-05-28 13:06:22,282 | INFO     | 0003 | Date of Quake: 2010-1-12
2018-05-28 13:06:22,283 | INFO     | 0004 | Sat Source: Sentinel2L1C
2018-05-28 13:06:27,830 | INFO     | 0062 | Draw area of interest on map and a geojson will be generated

2018-05-28 13:07:45,323 | INFO     | 0001 | Scraping starting for: Leogane, HT
2018-05-28 13:07:45,325 | INFO     | 0002 | Coordinates: 18.51, -72.63
2018-05-28 13:07:45,326 | INFO     | 0003 | Date of Quake: 2010-1-12
2018-05-28 13:07:45,326 | INFO     | 0004 | Sat Source: Landsat8L1G
2018-05-28 13:07:48,045 | INFO     | 0062 | Draw area of interest on map and a geojson will be generated

2018-05-28 13:12:58,337 | INFO     | 0057 | GEOJSON ALREADY CREATED - MOVE TO NEXT CELL

2018-05-28 13:13:18,765 | INFO     | 0001 | Scraping starting for: Leogane, HT
2018-05-28 13:13:18,767 | INFO     | 0002 | Coordinates: 18.51, -72.63
2018-05-28 13:13:18,768 | INFO     | 0003 | Date of Quake: 2010-1-12
2018-05-28 13:13:18,769 | INFO     | 0004 | Sat Source: PSScene3Band
2018-05-28 13:13:22,186 | INFO     | 0057 | GEOJSON ALREADY CREATED - MOVE TO NEXT CELL

2018-05-28 13:17:05,442 | INFO     | 0001 | Scraping starting for: Port-au-Prince, HT
2018-05-28 13:17:05,753 | INFO     | 0002 | Coordinates: 18.56, -72.366
2018-05-28 13:17:05,754 | INFO     | 0003 | Date of Quake: 2010-1-12
2018-05-28 13:17:05,755 | INFO     | 0004 | Sat Source: Sentinel2L1C
2018-05-28 13:17:08,705 | INFO     | 0062 | Draw area of interest on map and a geojson will be generated

